YUL	CYUL	Montreal / Pierre Elliott Trudeau International Airport	large_airport	SRID=4326;POINT(-73.742294 45.467837)	North America	Canada	CA	Quebec	CA-QC	Montréal	http://www.admtl.com/passager/Home.aspx	https://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport
YYC	CYYC	Calgary International Airport	large_airport	SRID=4326;POINT(-114.009933 51.118822)	North America	Canada	CA	Alberta	CA-AB	Calgary	http://www.calgaryairport.com/	https://en.wikipedia.org/wiki/Calgary_International_Airport
YOW	CYOW	Ottawa Macdonald-Cartier International Airport	large_airport	SRID=4326;POINT(-75.669197 45.322498)	North America	Canada	CA	Ontario	CA-ON	Ottawa	https://yow.ca/	https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport
YEG	CYEG	Edmonton International Airport	large_airport	SRID=4326;POINT(-113.580002 53.3097)	North America	Canada	CA	Alberta	CA-AB	Edmonton	http://www.edmontonairports.com/	https://en.wikipedia.org/wiki/Edmonton_International_Airport
YWG	CYWG	Winnipeg / James Armstrong Richardson International Airport	large_airport	SRID=4326;POINT(-97.2398986816 49.9099998474)	North America	Canada	CA	Manitoba	CA-MB	Winnipeg	http://www.waa.ca/	https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport
YHZ	CYHZ	Halifax / Stanfield International Airport	large_airport	SRID=4326;POINT(-63.5085983276 44.8807983398)	North America	Canada	CA	Nova Scotia	CA-NS	Halifax	http://www.hiaa.ca/	https://en.wikipedia.org/wiki/Halifax_International_Airport
YQB	CYQB	Quebec Jean Lesage International Airport	large_airport	SRID=4326;POINT(-71.393303 46.7911)	North America	Canada	CA	Quebec	CA-QC	Quebec	http://www.aeroportdequebec.com/	https://en.wikipedia.org/wiki/Qu%C3%A9bec/Jean_Lesage_International_Airport
YYT	CYYT	St. John's International Airport	large_airport	SRID=4326;POINT(-52.7519 47.618599)	North America	Canada	CA	Newfoundland and Labrador	CA-NL	St. John's	https://www.stjohnsairport.com/	https://en.wikipedia.org/wiki/St._John's_International_Airport
SID	GVAC	Amílcar Cabral International Airport	large_airport	SRID=4326;POINT(-22.9494 16.7414)	Africa	Cape Verde	CV	Barlavento Islands	CV-B	Espargos		https://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport
RAI	GVNP	Nelson Mandela International Airport	large_airport	SRID=4326;POINT(-23.484728 14.941126)	Africa	Cape Verde	CV	Sotavento Islands	CV-S	Praia	https://www.vinci-airports.cv/aeroporto_asa/aeroporto-internacional-nelson-mandela/	https://en.wikipedia.org/wiki/Nelson_Mandela_International_Airport
BON	TNCB	Flamingo International Airport	large_airport	SRID=4326;POINT(-68.268501 12.131)	North America	Caribbean Netherlands	BQ	Bonaire	BQ-BO	Kralendijk		https://en.wikipedia.org/wiki/Flamingo_International_Airport
GCM	MWCR	Owen Roberts International Airport	large_airport	SRID=4326;POINT(-81.357697 19.292801)	North America	Cayman Islands	KY	Grand Cayman	KY-GC	George Town		https://en.wikipedia.org/wiki/Owen_Roberts_International_Airport
NDJ	FTTJ	N'Djamena International Airport	large_airport	SRID=4326;POINT(15.034 12.1337)	Africa	Chad	TD	N'Djamena (city)	TD-ND	N'Djamena		https://en.wikipedia.org/wiki/N'Djamena_International_Airport
SCL	SCEL	Comodoro Arturo Merino Benítez International Airport	large_airport	SRID=4326;POINT(-70.7857971191 -33.3930015564)	South America	Chile	CL	Santiago Metropolitan Region	CL-RM	Santiago	http://www.aeropuertosantiago.cl/ingles/index.php	https://en.wikipedia.org/wiki/Comodoro_Arturo_Merino_Ben%C3%ADtez_International_Airport
PEK	ZBAA	Beijing Capital International Airport	large_airport	SRID=4326;POINT(116.5849990845 40.0801010132)	Asia	China	CN	Beijing Municipality	CN-11	Beijing	http://en.bcia.com.cn/	https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport
PVG	ZSPD	Shanghai Pudong International Airport	large_airport	SRID=4326;POINT(121.805 31.1434)	Asia	China	CN	Shanghai Municipality	CN-31	Shanghai (Pudong)	https://www.shanghaiairport.com/index.html	https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport
CAN	ZGGG	Guangzhou Baiyun International Airport	large_airport	SRID=4326;POINT(113.299004 23.392401)	Asia	China	CN	Guangdong Province	CN-44	Guangzhou (Huadu)	http://www.baiyunairport.com/english/index.jsp	https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport
SHA	ZSSS	Shanghai Hongqiao International Airport	large_airport	SRID=4326;POINT(121.33426 31.198104)	Asia	China	CN	Shanghai Municipality	CN-31	Shanghai (Minhang)		https://en.wikipedia.org/wiki/Shanghai_Hongqiao_International_Airport
XIY	ZLXY	Xi'an Xianyang International Airport	large_airport	SRID=4326;POINT(108.751999 34.447102)	Asia	China	CN	Shaanxi Province	CN-61	Xianyang (Weicheng)	http://www.xxia.com/	https://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport
SZX	ZGSZ	Shenzhen Bao'an International Airport	large_airport	SRID=4326;POINT(113.810997 22.639299)	Asia	China	CN	Guangdong Province	CN-44	Shenzhen (Bao'an)	http://eng.szairport.com/	https://en.wikipedia.org/wiki/Shenzhen_Bao'an_International_Airport
CTU	ZUUU	Chengdu Shuangliu International Airport	large_airport	SRID=4326;POINT(103.945966 30.558257)	Asia	China	CN	Sichuan Province	CN-51	Chengdu (Shuangliu)	http://www.cdairport.com/cdairport/en_front/index.jsp	https://en.wikipedia.org/wiki/Chengdu_Shuangliu_International_Airport
KMG	ZPPP	Kunming Changshui International Airport	large_airport	SRID=4326;POINT(102.936743 25.110313)	Asia	China	CN	Yunnan Province	CN-53	Kunming		https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport
CKG	ZUCK	Chongqing Jiangbei International Airport	large_airport	SRID=4326;POINT(106.651895 29.712254)	Asia	China	CN	Chongqing Municipality	CN-50	Chongqing		https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport
